Salutation,Name/Prefix,Name/Surname,Name/Suffix,Actual Attendance,Expected Attendance,Affiliation,Table,ticket ref,booking ref,booking email,type,Field 5,Field 6,Field 7,QR ID,QR Key
,,UTFRI,NRXDJ,1,1,Premium GA 2 Day Ticket Advance Tier 2 ($200 USD),,291558-767290c488,B8013-291558/SG5,YZULP@mail.com,Premium GA 2 Day Ticket Advance Tier 2 ($200 USD),,24726,49582,3287,c22651
,,NSWSA,XCGBW,1,1,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,285678-823529defc,B8013-285678/SG5,JPMZV@mail.com,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,13369,38478,2417,9f07b0
,,OJWQE,SGBCO,1,1,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,281767-e2d795cdec,B8013-281767/SG1,ORYBF@mail.com,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,5140,32820,2172,8da69d
,,RDMNI,KTWEB,1,1,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,281745-7ccad6043e,B8013-281745/SG3,LFMSX@mail.com,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,13802,41373,2156,bc7b66
,,RKRZX,YIARV,1,1,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,281878-84814e36ba,B8013-281878/SG5,BQDXZ@mail.com,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,5889,32969,2176,6f4339
,,FWIHO,YVCNG,1,1,Premium GA 2 Day Ticket Advance Tier 2 ($200 USD),,284840-b3ef2e3f04,B8013-284840/SG5,TCIMG@mail.com,Premium GA 2 Day Ticket Advance Tier 2 ($200 USD),,21639,51363,3068,25f1da
,,DVYJF,MJWVY,1,1,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,281693-73e27fd1e1,B8013-281693/SG1,ATZHJ@mail.com,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,5822,33041,2139,9e1940
,,UDKWY,IXTJU,1,1,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,290246-b94c800ee0,B8013-290246/MV5,HHOEF@mail.com,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,13228,38559,2594,d7c5b3
,,HBABP,QTTEN,1,1,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,290246-0229ceb05e,B8013-290246/MV5,ARBNW@mail.com,GA 2 Day Ticket  Advance Tier 2 ($175 USD),,13327,38458,2595,99f7e3
,,OGVAG,QCCDM,1,1,Premium GA 2 Day Ticket Advance Tier 2 ($200 USD),,279652-0faf81a113,B8013-279652/SG1,HJLNR@mail.com,Premium GA 2 Day Ticket Advance Tier 2 ($200 USD),,13361,38594,2909,b3543e
